#East(UTM)	North(UTM) Ue(m)	Un(m)  SIGe(m)	SIGn(m)
-4.910020 13.987550	0.035689 -0.0553070  0.0004220 0.0004780
-34.155440 -1.355300	-0.007309 -8e-06 0.000363 0.000381 
-9.330800 6.073150	-0.036462 0.048717 0.000389 0.000347
-2.310920 7.392050	0.054759 -0.053599 0.000393 0.000328
-8.639260 9.723840	-0.049347 0.050116 0.000468 0.000363
-19.855690 2.230960 -0.015756 0.009185 0.000335 0.000242
-6.172910 2.170260 -0.0315710 0.050234 0.00034 0.00024
-7.247480 12.132640 0.037137 -0.064775 0.000628 0.000534
-4.824820 17.331400 0.015872 -0.047791 0.000325 0.000376
-13.292760 9.913360 -0.042108 0.02268 0.001043 0.001201
1.625660 11.322170 0.038136 -0.031357 0.000378 0.000847
