# East(UTM)   North(UTM) Ue(m)    Un(m)
-20.00000 -20.00000 -0.00463 -0.01750
-15.00000 -20.00000 -0.00497 -0.02289
-10.00000 -20.00000 -0.00369 -0.02647
-5.00000 -20.00000 -0.00136 -0.02609
0.00000 -20.00000 0.00033 -0.02135
5.00000 -20.00000 0.00018 -0.01439
10.00000 -20.00000 -0.00144 -0.00794
15.00000 -20.00000 -0.00339 -0.00339
-20.00000 -15.00000 -0.00544 -0.01967
-15.00000 -15.00000 -0.00699 -0.02855
-10.00000 -15.00000 -0.00559 -0.03557
-5.00000 -15.00000 -0.00171 -0.03561
0.00000 -15.00000 0.00093 -0.02721
5.00000 -15.00000 -0.00024 -0.01550
10.00000 -15.00000 -0.00359 -0.00628
15.00000 -15.00000 -0.00656 -0.00107
-20.00000 -10.00000 -0.00488 -0.02015
-15.00000 -10.00000 -0.00923 -0.03415
-10.00000 -10.00000 -0.00877 -0.04798
-5.00000 -10.00000 -0.00221 -0.04966
0.00000 -10.00000 0.00181 -0.03362
5.00000 -10.00000 -0.00255 -0.01369
10.00000 -10.00000 -0.00896 -0.00186
15.00000 -10.00000 -0.01250 0.00265
-20.00000 -5.00000 0.00034 -0.01677
-15.00000 -5.00000 -0.00882 -0.03596
-10.00000 -5.00000 -0.01284 -0.06113
-5.00000 -5.00000 -0.00282 -0.06727
0.00000 -5.00000 0.00158 -0.03518
5.00000 -5.00000 -0.01175 -0.00444
10.00000 -5.00000 -0.02104 0.00585
15.00000 -5.00000 -0.02230 0.00685
-20.00000 0.00000 0.01600 -0.00866
-15.00000 0.00000 0.00391 -0.02789
-10.00000 0.00000 -0.00933 -0.06181
-5.00000 0.00000 -0.00198 -0.07019
0.00000 0.00000 -0.01031 -0.01461
5.00000 0.00000 -0.03877 0.01263
10.00000 0.00000 -0.04151 0.01241
15.00000 0.00000 -0.03443 0.00868
-20.00000 5.00000 0.04413 -0.00139
-15.00000 5.00000 0.03955 -0.01283
-10.00000 5.00000 0.02057 -0.04031
-5.00000 5.00000 0.00103 -0.02527
0.00000 5.00000 -0.05145 0.01405
5.00000 5.00000 -0.07279 0.01431
10.00000 5.00000 -0.05812 0.00913
15.00000 5.00000 -0.04215 0.00576
-20.00000 10.00000 0.06773 -0.00579
-15.00000 10.00000 0.07369 -0.01076
-10.00000 10.00000 0.03319 -0.01545
-5.00000 10.00000 -0.01691 0.02298
0.00000 10.00000 -0.05224 0.01752
5.00000 10.00000 -0.06295 0.00355
10.00000 10.00000 -0.05198 0.00121
15.00000 10.00000 -0.03878 0.00106
-20.00000 15.00000 0.05788 -0.01514
-15.00000 15.00000 0.04995 -0.01553
-10.00000 15.00000 0.00500 0.02457
-5.00000 15.00000 0.00019 0.06131
0.00000 15.00000 -0.01179 0.03383
5.00000 15.00000 -0.02664 0.00912
10.00000 15.00000 -0.03006 0.00118
15.00000 15.00000 -0.02676 -0.00027
